,tweet,date,id,handle
0,https://t.co/SHY5Hz66eJ,2020-11-11 15:07:17,1326542017241837570,realDonaldTrump
1,"A guy named Al Schmidt, a Philadelphia Commissioner and so-called Republican (RINO), is being used big time by the… https://t.co/xiRJKeTKQq",2020-11-11 14:03:03,1326525851752656898,realDonaldTrump
2,"Richard Hopkins, Pennsylvania postal worker, recants ballot-tampering claim - Washington Times… https://t.co/Kfpbm4HNCT",2020-11-11 13:48:12,1326522116779487243,realDonaldTrump
3,The Fake Pollsters at @ABC/@washingtonpost produced a possibly illegal suppression Poll just before the Election sh… https://t.co/lcF0LSdJqh,2020-11-11 13:35:55,1326519025552265216,realDonaldTrump
4,RT @realDonaldTrump: WE WILL WIN!,2020-11-11 04:04:44,1326375282023010304,realDonaldTrump
5,https://t.co/JxzM7kThko,2020-11-11 03:41:22,1326369401277468672,realDonaldTrump
6,"RT @realDonaldTrump: Republicans, don’t let Andrew McCabe continue to get away with totally criminal activity. What he did should never be…",2020-11-11 02:57:47,1326358434145570817,realDonaldTrump
7,RT @realDonaldTrump: Highly Respected Ken Starr: “Pennsylvania’s three-day extension of the mail-in ballot deadline is a Constitutional Tra…,2020-11-11 02:57:44,1326358419582967810,realDonaldTrump
8,"RT @realDonaldTrump: Nate Simington, a very smart and qualified individual, is having his Senate hearing today. Republicans will hopefully…",2020-11-11 02:57:08,1326358270655782912,realDonaldTrump
9,"RT @WSJ: Joe Biden won South Texas border counties—but just barely. Latinos, mostly lifelong Democrats, moved to President Trump in record…",2020-11-11 02:52:30,1326357101787181059,realDonaldTrump
10,RT @GOP: “I’m here to stand with President @realDonaldTrump… he stood with me. He’s the reason we’re going to have a Senate Majority.” -@Li…,2020-11-11 02:49:25,1326356328885997568,realDonaldTrump
11,"RT @DanPatrick: President @realDonaldTrump’s @POTUS pursuit of voter fraud is not only essential to determine the outcome of this election,…",2020-11-11 02:45:05,1326355238463352832,realDonaldTrump
12,RT @ArthurSchwartz: Texas Lt. Gov. Dan Patrick offers $1 million reward for evidence of voter fraud https://t.co/d139uaqwOu,2020-11-11 02:44:06,1326354989778952194,realDonaldTrump
13,People will not accept this Rigged Election! https://t.co/XQAOIt5ZwU,2020-11-11 02:37:06,1326353226749386757,realDonaldTrump
14,"RT @nedryun: ""PA's dead voters are actually dwarfed in number by “ghost” voters nationwide. These are not the dearly departed, reanimated s…",2020-11-11 02:34:22,1326352538858348545,realDonaldTrump
15,Obama spied on our campaign - and got caught! https://t.co/HyQW0v2SD4,2020-11-11 02:26:46,1326350628864614401,realDonaldTrump
16,"RT @CortesSteve: The statistical case against a Biden win. 

Part 1 of 4: Turnout... https://t.co/X0yC8F88fS",2020-11-11 02:24:35,1326350077946966016,realDonaldTrump
17,I Was In Philadelphia Watching Fraud Happen. Here’s How It Went Down https://t.co/fRMw3ilbYG They shut out our Poll… https://t.co/rKcK3b2NmV,2020-11-11 02:20:13,1326348976531136513,realDonaldTrump
18,A brave patriot. More &amp; more people are stepping forward to expose this Rigged Election! https://t.co/DfOVDQu2Qp,2020-11-11 02:15:42,1326347841476890627,realDonaldTrump
19,He should pay a big price for his subversion! https://t.co/1nFjPBpvfV,2020-11-11 02:09:38,1326346314842562561,realDonaldTrump
20,Thanks Dan. Big win for us in Texas! https://t.co/MqNSOf6AWP,2020-11-11 02:06:22,1326345492834512897,realDonaldTrump
21,That’s why Mike was number one in his class at West Point! https://t.co/hldYAphqmM,2020-11-11 01:59:13,1326343694912466944,realDonaldTrump
22,Andrew McCabe was exposed for who he is today in the U.S. Senate. He was totally destroyed - an ignorant fool. The… https://t.co/DLsjihlwrw,2020-11-11 01:55:26,1326342742801326083,realDonaldTrump
23,"“I don’t care what state you’re in, this computer voting system is wide open to fraud and intervention.” @LouDobbs… https://t.co/0fcES4nEQ1",2020-11-11 00:55:12,1326327582074220544,realDonaldTrump
24,https://t.co/gGC3uuldxh,2020-11-11 00:07:59,1326315701620142087,realDonaldTrump
25,https://t.co/5kZAdMeoJ3,2020-11-11 00:06:20,1326315284169445376,realDonaldTrump
26,https://t.co/Ncauwdm8Sb,2020-11-11 00:04:44,1326314883420446722,realDonaldTrump
27,Ballot Corruption will be exposed tonight at 9:00pmE on @SeanHannity on @FoxNews!,2020-11-10 23:21:51,1326304091035881472,realDonaldTrump
28,Pennsylvania Party Leadership votes are this week. I hope they pick very tough and smart fighters. We will WIN!!,2020-11-10 17:13:57,1326211507982659590,realDonaldTrump
29,"Nate Simington, a very smart and qualified individual, is having his Senate hearing today. Republicans will hopeful… https://t.co/c57bKU7mTi",2020-11-10 17:13:39,1326211428999720962,realDonaldTrump
30,Happy 245th Birthday to the @USMC! #HappyBirthdayMarines https://t.co/ruAkzKhhrJ https://t.co/0DjMwME0km,2020-11-10 16:49:04,1326205245953871872,realDonaldTrump
31,"Republicans, don’t let Andrew McCabe continue to get away with totally criminal activity. What he did should never… https://t.co/VQC2Fqkstb",2020-11-10 16:04:57,1326194143132082178,realDonaldTrump
32,Highly Respected Ken Starr: “Pennsylvania’s three-day extension of the mail-in ballot deadline is a Constitutional… https://t.co/9VyXSO5NU6,2020-11-10 15:51:40,1326190800070471682,realDonaldTrump
33,BALLOT COUNTING ABUSE!,2020-11-10 15:33:47,1326186297157963777,realDonaldTrump
34,"WATCH FOR MASSIVE BALLOT COUNTING ABUSE AND, JUST LIKE THE EARLY VACCINE, REMEMBER I TOLD YOU SO!",2020-11-10 15:33:06,1326186126709821440,realDonaldTrump
35,WE WILL WIN!,2020-11-10 13:44:22,1326158760826560515,realDonaldTrump
36,WE ARE MAKING BIG PROGRESS. RESULTS START TO COME IN NEXT WEEK. MAKE AMERICA GREAT AGAIN!,2020-11-10 13:43:35,1326158564449275910,realDonaldTrump
37,"“Only because of President Trump, we are going to have a Vaccine by the end of the year.”  Ronny Jackson, Texas Congressman-Elect",2020-11-10 13:05:44,1326149041248407552,realDonaldTrump
38,“President Trump told us for some time we would be getting a Vaccine by the end of the year and people laughed at h… https://t.co/pY3HoA5Kdt,2020-11-10 13:01:15,1326147913542668291,realDonaldTrump
39,Nothing! https://t.co/OurKkatwbE,2020-11-10 05:38:07,1326036394846859265,realDonaldTrump
40,RT @BreitbartNews: Let's roll. https://t.co/lxmoxLEpEa,2020-11-10 05:25:54,1326033318664613890,realDonaldTrump
41,RT @BreitbartNews: Ouch. https://t.co/uwCChJoX2V,2020-11-10 05:25:17,1326033164523933696,realDonaldTrump
42,Nolte: Bret Baier Deletes Tweet that Exposed Backlash Against Fox News https://t.co/k98LQLPwsK via @BreitbartNews,2020-11-10 05:18:11,1326031379151327232,realDonaldTrump
43,RT @BreitbartNews: No doubt about it. https://t.co/7vBPTmDIe7,2020-11-10 04:45:20,1326023108604661760,realDonaldTrump
44,https://t.co/kSjq4ye9EO,2020-11-10 01:27:06,1325973224522473475,realDonaldTrump
45,https://t.co/dFGni0viS5,2020-11-10 01:03:40,1325967327611981829,realDonaldTrump
46,https://t.co/9oAnUZdJLW,2020-11-10 01:03:15,1325967220757966852,realDonaldTrump
47,https://t.co/NXcVFfLcgx,2020-11-10 01:01:02,1325966661942435841,realDonaldTrump
48,"The @US_FDA and the Democrats didn’t want to have me get a Vaccine WIN, prior to the election, so instead it came o… https://t.co/JpeqCUIuSm",2020-11-10 00:43:19,1325962203346972678,realDonaldTrump
49,"If Joe Biden were President, you wouldn’t have the Vaccine for another four years, nor would the @US_FDA have ever… https://t.co/QH6ZKkIyeH",2020-11-10 00:41:12,1325961672343875585,realDonaldTrump
50,"As I have long said, @Pfizer and the others would only announce a Vaccine after the Election, because they didn’t h… https://t.co/PawcRvWd9t",2020-11-10 00:40:18,1325961445062938625,realDonaldTrump
51,"...The worst polling ever, and then they’ll be back in four years to do it again. This is much more then voter and… https://t.co/SDeINtq66H",2020-11-10 00:38:59,1325961116359516160,realDonaldTrump
52,"...ABC/WaPo had me down 17 points in Wisconsin, the day before the election, and I WON! In Iowa, the polls had us 4… https://t.co/keKFlrXYrb",2020-11-10 00:38:59,1325961115352838145,realDonaldTrump
53,".@FoxNews, @QuinnipiacPoll, ABC/WaPo, NBC/WSJ were so inaccurate with their polls on me, that it really is tamperin… https://t.co/yXH5swz21g",2020-11-10 00:38:59,1325961114514038786,realDonaldTrump
54,https://t.co/vTEBvG1Ucj,2020-11-10 00:23:24,1325957192214831105,realDonaldTrump
